Event Number,Track ID,pT (GeV),Num Hits,Matched
1110,4504149383184384,1.065266247745844,8,1.0
1110,4504630419521536,0.3191899882605781,10,1.0
1110,4505661211672576,0.3182281683440688,11,1.0
1110,4506485845393408,0.6353853206844287,9,1.0
1110,4507104320684032,1.2320963991022926,9,1.0
1110,4507241759637504,0.3187765896961465,10,1.0
1110,4507928954404864,1.4176515404740535,6,1.0
1110,4508066393358336,0.27401577220772083,7,1.0
1110,4508203832311808,2.3124347226144835,7,0.0
1110,4508684868648960,0.949069726312227,6,0.0
1110,4508753588125696,0.5693738349298549,15,1.0
1110,4508822307602432,0.372307385055919,13,1.0
1110,4508891027079168,0.49918349853554556,10,1.0
1110,4508959746555904,0.476725254995336,9,1.0
1110,4509990538706944,1.541878933048436,9,1.0
1110,4510059258183680,0.6468598336980168,10,1.0
1110,4510127977660416,0.19717982207057377,10,1.0
1110,4507997690662913,0.30982409654364584,10,1.0
1110,4510952628162561,0.33423809558235984,12,0.0
1110,4512052123009024,2.19894768808659,8,0.0
1110,4513357793067008,2.4885590264916386,8,0.0
1110,4513426512543744,2.8561322863389615,7,0.0
1110,4514182426787840,0.6509706721002791,13,1.0
1110,4514251146264576,0.1983194957801207,8,1.0
1110,4516106572136448,0.5222370691169913,9,1.0
1110,4525658579402752,0.6184549582189712,8,1.0
1110,4526002176786432,2.6502469858553677,8,1.0
1110,4526414493646848,1.7957556132413717,10,1.0
1110,9008023888461824,1.6090764150048271,11,1.0
1110,9008711083229184,0.8617682148749414,12,1.0
1110,9008779802705920,0.9381758574283613,7,1.0
1110,9009398277996544,0.4808793333241135,10,1.0
1110,9009466997473280,0.19754816082185167,8,1.0
1110,9009535716950016,0.5454204782362164,8,1.0
1110,9009604436426752,1.7081243916082558,12,1.0
1110,9009810594856960,1.7905821009215614,6,1.0
1110,9010910106484736,1.338945563129947,10,0.0
1110,9011116264914944,2.1418899741571047,13,0.0
1110,9011253703868416,3.328747096006149,10,1.0
1110,9011803459682304,0.801375227256097,14,1.0
1110,9011872179159040,0.3634215913248309,12,1.0
1110,9011940898635776,0.6615125543699871,14,1.0
1110,9012009618112512,0.5551558387615939,12,1.0
1110,9012284496019456,0.20010862216164899,10,1.0
1110,9013452727123968,1.0179419879903588,6,1.0
1110,9014208641368064,1.334657086438101,8,1.0
1110,9014346080321536,0.8862048092216491,17,1.0
1110,9014689677705216,0.4488996164812653,13,1.0
1110,9014895836135424,0.6696539683235317,7,1.0
1110,9014964555612160,0.8816539476838574,10,1.0
1110,9016476384100352,1.7196110531577375,12,0.0
1110,9016613823053824,0.8803348570360252,11,0.0
1110,9016682542530560,0.2828866162336236,10,1.0
1110,9016751262007296,0.6598931449197719,11,1.0
1110,9016819981484032,0.6485091993270095,12,1.0
1110,9016888700960768,0.5621259245791695,11,1.0
1110,9016957420437504,0.6547143805013704,14,1.0
1110,9017369737297920,0.32238434545702616,12,1.0
1110,9017507176251392,0.21764025835090664,10,1.0
1110,9017644615204864,0.542038165616635,9,1.0
1110,9018331809972224,0.5942543030299335,7,1.0
1110,9008573661057025,0.18394664967902452,8,1.0
1110,9008573661061122,0.2084055237751031,8,1.0
1110,9018400546230273,0.1823923236784239,9,1.0
1110,9019225163169792,0.39976226189237446,9,1.0
1110,9021424186425344,0.6294798400511019,11,1.0
1110,9021561625378816,0.2760820081321121,7,1.0
1110,9022936014913536,0.876594837819674,12,1.0
1110,9023004734390272,0.16260935590086062,8,1.0
1110,9023417051250688,0.9676643978398746,9,1.0
1110,9023485770727424,1.4686880919104126,6,1.0
1110,9023554490204160,1.5946950370472712,7,0.0
1110,9025959671889920,0.18465939408654378,9,1.0
1110,9026097110843392,1.0743567245788588,14,1.0
1110,9026165830320128,0.3524715431500986,7,1.0
1110,9026921744564224,0.15863045726158143,11,1.0
1110,9027127902994432,0.20332016707305756,7,1.0
1110,9027815097761792,0.17775731786588847,10,1.0
1110,9027883817238528,0.27442113865587026,10,1.0
1110,9028914609389568,0.3384958426413568,10,1.0
1110,9028983328866304,0.5762817384873992,12,1.0
1110,9030701315784704,0.5818648194297044,10,1.0
1110,9030770052042753,0.44306609507274763,8,1.0
1110,9031663388459008,0.38399288554114586,9,1.0
1110,9031800827412480,0.44391845143349395,9,1.0
1110,13511760954785792,0.693083160928655,14,1.0
1110,13511829674262528,0.4372132820472042,13,1.0
1110,13511898393739264,0.4410677303834299,13,1.0
1110,13511967113216000,1.0601626324463735,16,1.0
1110,13512104552169472,0.5349887685131877,13,1.0
1110,13512173271646208,0.47486679554623307,10,1.0
1110,13512241991122944,0.6967692061229329,16,1.0
1110,13512310710599680,1.0329829428192923,14,1.0
1110,13512448149553152,0.4170269117529413,10,1.0
1110,13513478941704192,0.28296850205134877,7,1.0
1110,13514166136471552,0.22639845837176625,10,1.0
1110,13514234855948288,0.691052287928965,11,1.0
1110,13514303575425024,0.21155310005632225,14,1.0
1110,13514509733855232,0.5173445678565329,10,1.0
1110,13514578453331968,1.2022391694748131,15,1.0
1110,13514647172808704,0.37190482571390043,14,1.0
1110,13510936337846273,0.2926982754579262,12,1.0
1110,13511486093660161,0.42565426058086103,9,1.0
1110,13516433895985153,0.22041472982890245,10,1.0
1110,13517258512924672,0.2901987661711641,9,1.0
1110,13520900645191680,0.9288652723741029,12,1.0
1110,18015291862679552,0.5434786085050893,10,1.0
1110,18015429301633024,0.4124928575947016,7,1.0
1110,18015498021109760,0.7190775179969443,9,1.0
1110,18015566740586496,0.28943738038021205,7,1.0
1110,18015841618493440,0.2513158416092139,8,0.0
1110,18017009849597952,0.33574939098484674,9,1.0
1110,18017078569074688,0.33288356361925436,10,1.0
1110,18018109361225728,1.0157172821196117,8,1.0
1110,18018246800179200,0.21222384507912004,7,1.0
1110,18019002714423296,0.2005157149419313,6,1.0
1110,18019208872853504,0.26785823924189195,10,1.0
1110,18019277592330240,0.4207869869822272,8,1.0
1110,18014810843123713,0.3113632134016994,10,1.0
1110,18014810843127810,0.42926841837309665,7,1.0
1110,18021820212969472,0.15785749594058573,11,1.0
1110,18021888932446208,0.3817327241021978,11,1.0
1110,18023194619285505,0.3256168293124214,7,1.0
1110,18023194619293698,0.4457596082389836,10,1.0
1110,27022010081083392,0.1536359960886763,11,1.0
1110,27022078800560128,1.3030360035297155,14,1.0
1110,27022422397943808,0.4768870355650976,8,1.0
1110,27022765995327488,0.6713689872833458,13,1.0
1110,27022972153757696,1.0772140639743082,7,1.0
1110,27023040873234432,1.066277974527567,7,1.0
1110,27024483982245888,0.44829530638830345,9,1.0
1110,27025308615966720,0.5446389283421679,10,1.0
1110,27025377335443456,0.1781824213685622,7,1.0
1110,27025583493873664,0.9980629510626994,12,1.0
1110,27026339408117760,0.35288250336150473,13,1.0
1110,27024690157457409,0.4226194472212463,6,1.0
1110,27025514807955457,0.34061985130527556,6,0.0
1110,27027095322361856,4.276014892876151,6,1.0
1110,27027713797652480,0.22380064845499692,12,1.0
1110,27027782517129216,0.21287377661020424,11,1.0
1110,27030050259861504,0.231726762757439,11,1.0
1110,27030118979338240,0.6228599640515446,9,1.0
1110,27030187715596289,0.20857094675044255,7,1.0
1110,36029071896870912,0.21857130712470854,9,1.0
1110,36029140616347648,0.3707250176207952,9,1.0
1110,36029278055301120,0.2391038797730404,10,1.0
1110,36029346774777856,1.0270538295554632,13,1.0
1110,36029415494254592,2.5859054679681552,9,1.0
1110,36030308847452160,0.3266058200080058,6,1.0
1110,36030446286405632,0.5381984812274504,13,1.0
1110,36030515005882368,1.1407896487170612,12,1.0
1110,36030583725359104,1.993940755138944,10,0.0
1110,36030652444835840,0.1564409466713793,8,1.0
1110,36030721164312576,0.8124824725903999,13,1.0
1110,36031889395417088,0.2735870966690436,9,1.0
1110,36032026834370560,1.4256744441652565,6,1.0
1110,36032164273324032,1.4768869908822013,7,1.0
1110,36032920187568128,0.8108565647863618,12,1.0
1110,36032988907044864,0.19878129773866735,7,1.0
1110,36033057626521600,0.5997768694074744,8,1.0
1110,36033332504428544,0.5000266294770566,10,1.0
1110,36033401223905280,0.8186366277331225,12,1.0
1110,36034294577102848,0.3287074683110871,9,1.0
1110,36034363296579584,0.34257486738331433,10,1.0
1110,36034569455009792,0.2566758810352582,8,1.0
1110,36035668966637568,0.6651670912828713,14,1.0
1110,36038692623613952,1.2360902809199095,9,1.0
1110,40533496157962240,0.25370448125020945,12,1.0
1110,40532671541022721,0.25572015422371736,13,1.0
1110,45036408590565376,0.4053600499726648,9,1.0
1110,45036546029518848,0.2523284897444306,14,1.0
1110,45036614748995584,0.6785031933044805,11,1.0
1110,54043264247922688,0.5076246583170932,10,1.0
1110,54045188393271296,0.4385174565890374,8,1.0
1110,54045600710131712,0.539701937647465,8,1.0
1110,54045738149085184,1.3475431782472826,9,1.0
1110,54045875588038656,1.004376037926726,10,1.0
1110,54045944307515392,0.45379155804301485,13,1.0
1110,54046013026992128,0.47594827845381327,10,1.0
1110,54046150465945600,1.3762853289799033,12,1.0
1110,54046425343852544,0.560613442105026,13,1.0
1110,54049242842398720,0.15528924612500067,7,1.0
1110,54049311561875456,0.4609971606550131,13,1.0
1110,54049380281352192,0.4547180784421542,12,1.0
