,volume_id,layer_id,module_id,cx,cy,cz,rot_xu,rot_xv,rot_xw,rot_yu,rot_yv,rot_yw,rot_zu,rot_zv,rot_zw,module_t,module_minhu,module_maxhu,module_hv,pitch_u,pitch_v,umid,um_idx
0,8,2,1,-31.6303,-6.29166,-455.0,0.330043,0.0,-0.943966,-0.943966,0.0,-0.330043,0,1,0,0.15,8.4,8.4,36,0.05,0.05625,8_2_1,0
1,8,2,2,-26.8149,-17.9171,-455.0,0.66616,0.0,-0.745809,-0.745809,0.0,-0.66616,0,1,0,0.15,8.4,8.4,36,0.05,0.05625,8_2_2,1
2,8,2,3,-17.9171,-26.8149,-455.0,0.900861,0.0,-0.434109,-0.434109,0.0,-0.900861,0,1,0,0.15,8.4,8.4,36,0.05,0.05625,8_2_3,2
3,8,2,4,-6.29166,-31.6303,-455.0,0.998413,0.0,-0.0563197,-0.0563197,0.0,-0.998413,0,1,0,0.15,8.4,8.4,36,0.05,0.05625,8_2_4,3
4,8,2,5,6.29166,-31.6303,-455.0,0.943966,0.0,0.330043,0.330043,0.0,-0.943966,0,1,0,0.15,8.4,8.4,36,0.05,0.05625,8_2_5,4
5,8,2,6,17.9171,-26.8149,-455.0,0.745809,0.0,0.66616,0.66616,0.0,-0.745809,0,1,0,0.15,8.4,8.4,36,0.05,0.05625,8_2_6,5
6,8,2,7,26.8149,-17.9171,-455.0,0.434109,0.0,0.900861,0.900861,0.0,-0.434109,0,1,0,0.15,8.4,8.4,36,0.05,0.05625,8_2_7,6
7,8,2,8,31.6303,-6.29166,-455.0,0.0563197,0.0,0.998413,0.998413,0.0,-0.0563197,0,1,0,0.15,8.4,8.4,36,0.05,0.05625,8_2_8,7
8,8,2,9,31.6303,6.29166,-455.0,-0.330043,0.0,0.943966,0.943966,0.0,0.330043,0,1,0,0.15,8.4,8.4,36,0.05,0.05625,8_2_9,8
9,8,2,10,26.8149,17.9171,-455.0,-0.66616,0.0,0.745809,0.745809,0.0,0.66616,0,1,0,0.15,8.4,8.4,36,0.05,0.05625,8_2_10,9
10,8,2,11,17.9171,26.8149,-455.0,-0.900861,0.0,0.434109,0.434109,0.0,0.900861,0,1,0,0.15,8.4,8.4,36,0.05,0.05625,8_2_11,10
11,8,2,12,6.29166,31.6303,-455.0,-0.998413,0.0,0.0563197,0.0563197,0.0,0.998413,0,1,0,0.15,8.4,8.4,36,0.05,0.05625,8_2_12,11
12,8,2,13,-6.29166,31.6303,-455.0,-0.943966,0.0,-0.330043,-0.330043,0.0,0.943966,0,1,0,0.15,8.4,8.4,36,0.05,0.05625,8_2_13,12
13,8,2,14,-17.9171,26.8149,-455.0,-0.745809,0.0,-0.66616,-0.66616,0.0,0.745809,0,1,0,0.15,8.4,8.4,36,0.05,0.05625,8_2_14,13
14,8,2,15,-26.8149,17.9171,-455.0,-0.434109,0.0,-0.900861,-0.900861,0.0,0.434109,0,1,0,0.15,8.4,8.4,36,0.05,0.05625,8_2_15,14
15,8,2,16,-31.6303,6.29166,-455.0,-0.0563197,0.0,-0.998413,-0.998413,0.0,0.0563197,0,1,0,0.15,8.4,8.4,36,0.05,0.05625,8_2_16,15
16,8,2,17,-31.1399,-6.19412,-385.0,0.330043,0.0,-0.943966,-0.943966,0.0,-0.330043,0,1,0,0.15,8.4,8.4,36,0.05,0.05625,8_2_17,16
